Exercise_Name,Description_URL,muscle_gp,Equipment,Rating,Description,Exercise_Images
Rickshaw Carry,https://www.bodybuilding.com/exercises/rickshaw-carry,Forearms,Other,9.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/742/Male/m/742_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/742/Male/m/742_2.jpg']"
Single-Leg Press,https://www.bodybuilding.com/exercises/single-leg-press,Quadriceps,Machine,9.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50m-single-leg-leg-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50m-single-leg-leg-press-m2-square-600x600.jpg']"
Landmine twist,https://www.bodybuilding.com/exercises/landmine-180s,Abdominals,Other,9.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-129s-landmine-twist-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-129s-landmine-twist-m3-square-600x600.jpg']"
Weighted pull-up,https://www.bodybuilding.com/exercises/weighted-pull-ups,Lats,Other,9.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-96c-weighted-pull-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-96c-weighted-pull-up-m2-square-600x600.jpg']"
T-Bar Row with Handle,https://www.bodybuilding.com/exercises/t-bar-row-with-handle,Middle Back,Other,9.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/1931/Male/m/1931_1.jpg', 'https://www.bodybuilding.com/images/2020/october/1931_2sm.jpg']"
Palms-down wrist curl over bench,https://www.bodybuilding.com/exercises/palms-down-wrist-curl-over-a-bench,Forearms,Barbell,9.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m2-square-600x600.jpg']"
Atlas Stones,https://www.bodybuilding.com/exercises/atlas-stones,Lower Back,Other,9.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_2.jpg']"
Dumbbell front raise to lateral raise,https://www.bodybuilding.com/exercises/side-laterals-to-front-raise-,Shoulders,Dumbbell,9.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m3-square-600x600.jpg']"
Clean from Blocks,https://www.bodybuilding.com/exercises/clean-from-blocks,Quadriceps,Barbell,9.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_2.jpg']"
Incline Hammer Curls,https://www.bodybuilding.com/exercises/incline-hammer-curls,Biceps,Dumbbell,9.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_2.jpg']"
Straight-bar wrist roll-up,https://www.bodybuilding.com/exercises/wrist-rotations-with-straight-bar,Forearms,,9.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-116s-straight-bar-wrist-roll-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-116s-straight-bar-wrist-roll-up-m3-square-600x600.jpg']"
Barbell glute bridge,https://www.bodybuilding.com/exercises/barbell-glute-bridge,Glutes,Barbell,9.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m2-square-600x600.jpg']"
Clean and press,https://www.bodybuilding.com/exercises/clean-and-press,Shoulders,Barbell,9.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m5-square-600x600.jpg']"
Triceps dip,https://www.bodybuilding.com/exercises/dips-triceps-version,Triceps,Body Only,9.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m2-square-600x600.jpg']"
Dumbbell farmer's walk,https://www.bodybuilding.com/exercises/farmers-walk,Forearms,Other,9.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m5-square-600x600.jpg']"
Bottoms Up,https://www.bodybuilding.com/exercises/bottoms-up,Abdominals,Body Only,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg', nan]"
Barbell back squat to box,https://www.bodybuilding.com/exercises/box-squat,Quadriceps,Barbell,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m2-square-600x600.jpg', nan]"
Clean and jerk,https://www.bodybuilding.com/exercises/clean-and-jerk,Shoulders,Barbell,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26b-clean-and-jerk-m1-square-600x600.jpg', nan]"
Single-arm kettlebell push-press,https://www.bodybuilding.com/exercises/one-arm-kettlebell-push-press,Shoulders,Kettlebells,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m2-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m3-square-600x600.jpg']"
Push-press,https://www.bodybuilding.com/exercises/push-press,Quadriceps,Barbell,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-39b-push-press-m2-square-600x600.jpg', nan]"
Suspended ab fall-out,https://www.bodybuilding.com/exercises/suspended-fallout,Abdominals,Other,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-158s-suspended-ab-fall-out-m2-600x600.jpg', nan]"
Reverse Band Box Squat,https://www.bodybuilding.com/exercises/reverse-band-box-squat,Quadriceps,,9.3,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/m/753_2.jpg', nan]"
Decline EZ-bar skullcrusher,https://www.bodybuilding.com/exercises/decline-ez-bar-triceps-extension,Triceps,E-Z Curl Bar,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m2-square-600x600.jpg']"
Standing behind-the-back wrist curl,https://www.bodybuilding.com/exercises/standing-palms-up-barbell-behind-the-back-wrist-curl,Forearms,Barbell,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14b-standing-behind-the-back-wrist-curl-m1-square-600x600.jpg', nan]"
EZ-bar spider curl,https://www.bodybuilding.com/exercises/spider-curl,Biceps,Barbell,9.2,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18n-barbell-spider-curl-m1-square-600x600.jpg', nan]"
